date,platform,extraction_run,official_dau,model_dau,interval_id
2025-11-15,STEAM,2,316034.8,329692.50900858326,4
2025-11-16,STEAM,2,313758.0,324225.98162466683,4
2025-11-18,STEAM,2,317681.3,315154.86224685644,4
2025-11-19,STEAM,2,312708.2,311276.09641014074,4
2025-11-22,STEAM,2,309381.5,301390.68868869037,4
2025-11-24,STEAM,2,304471.6,295853.2679038852,4
2025-11-25,STEAM,2,299401.5,293321.1259902591,4
2025-11-28,STEAM,2,296074.8,286472.8255271672,4
2025-11-29,STEAM,2,298287.0,284399.21440913074,4
2025-12-01,STEAM,2,292748.1,280510.9033226064,4
2025-12-02,STEAM,2,330608.9,278682.10947301064,4
2025-12-05,STEAM,2,297987.6,273589.73684190406,4
2025-12-11,STEAM,2,282768.1,264817.76141430886,4
2025-12-13,STEAM,2,282768.1,262226.2172611478,4
2025-12-15,STEAM,2,286877.9,259772.2346677803,4
2025-12-17,STEAM,2,297701.5,257442.57176024406,4
2025-12-18,STEAM,2,332668.2,256320.75177307063,4
2025-12-21,STEAM,2,327736.0,253112.37517461105,4
2025-12-23,STEAM,2,329341.5,251093.5043482231,4
2025-12-29,STEAM,2,345974.9,245534.1288914589,4
2026-01-03,STEAM,2,370222.6,311787.0562920841,4
2026-01-06,STEAM,2,349447.7,298755.1614957007,4
2026-01-08,STEAM,2,342648.2,356429.97854691744,4
2026-01-14,STEAM,2,326014.9,444171.82430864085,4
2026-01-15,STEAM,2,359183.6,445505.3565384969,4
2026-01-17,STEAM,2,326014.9,432311.1528476515,4
2026-01-25,STEAM,2,335994.9,348628.20535983576,4
2023-08-11,TOTAL,1,133067.7,50986.51543007585,1
2023-08-14,TOTAL,1,133067.7,49755.02351375482,1
2023-08-16,TOTAL,1,128077.7,48995.10163113069,1
2023-08-19,TOTAL,1,128077.7,47934.33388313761,1
2023-08-22,TOTAL,1,128077.7,46956.538479666146,1
2023-08-24,TOTAL,1,128077.7,46345.270989891826,1
2023-08-27,TOTAL,1,128077.7,45482.47181346352,1
2023-08-30,TOTAL,1,131404.3,44677.78869860139,1
2023-09-01,TOTAL,1,136394.4,44170.37881406165,1
2023-09-04,TOTAL,1,139721.0,43448.69070365644,1
2023-09-07,TOTAL,1,143047.7,42770.040454808855,1
2023-09-09,TOTAL,1,136394.4,42339.43265618786,1
2023-09-12,TOTAL,1,148037.7,41723.533272539076,1
2023-09-15,TOTAL,1,158017.8,59641.514926130236,1
2023-09-17,TOTAL,1,154691.1,62164.39848146697,1
2023-09-20,TOTAL,1,158017.8,59043.131787562124,1
2023-09-23,TOTAL,1,161344.4,53278.44777603412,1
2023-09-25,TOTAL,1,176314.5,51209.152395475954,1
2023-09-28,TOTAL,1,182967.8,49012.45063181185,1
