date,platform,extraction_run,official_dau,model_dau,interval_id,model_dau_scaled
2025-01-29,TOTAL,1,375915.0,200857.6868588073,3,393035.32883719646
2025-01-31,TOTAL,1,372588.3,186082.20901559232,3,364122.8939503159
2025-02-01,TOTAL,1,354291.6,181965.3126190615,3,356067.01242392656
2025-02-03,TOTAL,1,352628.3,175283.57574572085,3,342992.28926900384
2025-02-04,TOTAL,1,357618.3,172463.63313565863,3,337474.26758718025
2025-02-05,TOTAL,1,352628.3,169896.40391812415,3,332450.7517063895
2025-02-07,TOTAL,1,360945.0,244768.27103673446,3,478958.9056826112
2025-02-08,TOTAL,1,372588.3,244194.36872152062,3,477835.90218342695
2025-02-10,TOTAL,1,407518.4,234890.19790124608,3,459629.639355783
2025-02-11,TOTAL,1,379241.7,229033.9648384496,3,448170.2497572089
2025-02-13,TOTAL,1,364271.6,210784.41039925447,3,412459.7935515501
2025-02-14,TOTAL,1,350964.9,204607.33046273162,3,400372.57557113224
2025-02-15,TOTAL,1,357618.3,199600.86657749186,3,390576.00163751945
2025-02-17,TOTAL,1,360945.0,191569.5705107279,3,374860.48116153
2025-02-18,TOTAL,1,354291.6,188212.06384135876,3,368290.56213823566
2025-02-20,TOTAL,1,350964.9,218513.7910324423,3,427584.5304057006
2025-02-21,TOTAL,1,362608.3,220846.11518430832,3,432148.38755411026
2025-02-23,TOTAL,1,349301.6,215949.21064185648,3,422566.19771001505
2025-02-24,TOTAL,1,345974.9,212017.39874450618,3,414872.4867738368
2025-02-26,TOTAL,1,379241.7,203856.03942231945,3,398902.4604575971
2025-02-27,TOTAL,1,362608.3,196485.62308634253,3,384480.13959160977
2025-02-28,TOTAL,1,357618.3,241362.4350930606,3,472294.4166554705
2025-03-02,TOTAL,1,360945.0,242528.32131446004,3,474575.8054416343
2025-03-03,TOTAL,1,402528.4,238373.52254159725,3,466445.75710998935
2025-03-06,TOTAL,1,402528.4,223039.33992633206,3,436440.05704994156
2025-03-08,TOTAL,1,385895.0,229456.17647497958,3,448996.4271965573
2025-03-09,TOTAL,1,382568.4,228022.70081322166,3,446191.4233806207
2025-03-10,TOTAL,1,382568.4,224718.017963751,3,439724.86922102125
2025-03-12,TOTAL,1,382568.4,216658.30426657398,3,423953.7415492663
2025-03-13,TOTAL,1,380905.0,212631.10294578059,3,416073.3740106106
2025-03-15,TOTAL,1,422488.5,203120.83436230506,3,397463.822150821
2025-03-16,TOTAL,1,419161.8,199471.39100601358,3,390322.6457684552
2025-03-18,TOTAL,1,395875.1,193436.31432214496,3,378513.2976369625
2025-03-19,TOTAL,1,394211.7,190827.605173924,3,373408.61444586125
2025-03-21,TOTAL,1,404191.7,280113.00529850577,3,548120.955044475
2025-03-22,TOTAL,1,395875.1,279741.8701017383,3,547394.7232214077
2025-03-23,TOTAL,1,392548.4,275366.8485367298,3,538833.746211443
2025-03-25,TOTAL,1,392548.4,262570.5891146872,3,513794.21644047636
2025-03-26,TOTAL,1,409181.8,255855.0073739844,3,500653.2661533928
